language","ISO_codes"
"Albanian","sqi"
"Arabic","arb"
"Basque","eus"
"Bulgarian","bul"
"Catalan","cat"
"Chinese","cmn"
"Serbo-croatian","hrv"
"Czech","ces"
"Danish","dan"
"Dutch","nld"
"Estonian","est"
"English","eng"
"Finnish","fin"
"French","fra"
"Frisian","fry"
"Friulian","fru"
"Galician","glg"
"Greek","ell"
"German","deu"
"Hungarian","hun"
"Irish/Gaelic","gle"
"Italian","ita"
"Japanese","jpn"
"Kurdish","kur"
"Latvian","lav"
"Lithuanian","lit"
"Low German","nds"
"Luxembourgish","ltz"
"Maltese","mlt"
"Occitan","oci"
"Polish","pol"
"Portuguese","por"
"Romanian","ron"
"Romany","rom"
"Russian","rus"
"Sami","sme"
"Sardinian","srd"
"Slovak","slk"
"Slovenian","slv"
"Spanish","spa"
"Swedish","swe"
"Turkish","tur"
"Ukrainian","ukr"
"Yiddish","yid"

