language,ISO
Albanian,sqi
Arabic,ara
Basque,eus
Bulgarian,bul
Catalan,cat
Chinese,zho
Croatian,hrv
Czech,ces
Danish,dan
Dutch,nld
Estonian,est
English,eng
Finnish,fin
French,fra
Frisian,fry
Friulian,fur
Galician,glg
Greek,ell
German,deu
Hungarian,hun
Irish/Gaelic,gle
Italian,ita
Japanese,jpn
Kurdish,kur
Latvian,lav
Lithuanian,lit
Low German,nds
Luxembourgish,ltz
Maltese,mlt
Occitan,oci
Polish,pol
Portuguese,por
Romanian,ron
Romany,rom
Russian,rus
Sami,sme
Sardinian,srd
Serbian/Bosnian/Montenegrin,srp
Slovak,slk
Slovenian,slv
Spanish,spa
Swedish,swe
Turkish,tur
Ukrainian,ukr
Yiddish,yid
Hindi,hin
Korean,kor
Scottish Gaelic,gla
Urdu,urd
Welsh,cym
